Season,Players,Type,Sold Price,Team,Overseas,Mat,Inns,No,Runs,Ave,BF,SR,Wickets
2023,Arshad Khan,AR,0.2,Mumbai Indians,,6,3,1,18,9,15,120,5
2022,Arshad Khan,AR,0.2,Mumbai Indians,,0,0,0,0,0,0,0,0
2024,Arshdeep Singh,BOW,4,Punjab Kings,,14,1,0,4,4,3,133.33,19
2023,Arshdeep Singh,BOW,4,Punjab Kings,,14,2,2,2,-,2,100,17
2022,Arshdeep Singh,BOW,4,Punjab Kings,,14,6,3,21,7,29,72.41,10
2021,Arshdeep Singh,BOW,0.2,Punjab Kings,,12,2,2,2,-,3,66.66,18
2020,Arshdeep Singh,BOW,0.2,Punjab Kings,,8,1,0,0,0,3,0,9
2024,Arshin Kulkarni,AR,0.2,Lucknow Super Giants,,2,2,0,9,4.5,8,112.5,0
2022,Aryan Juyal,BAT/WK,0.2,Mumbai Indians,,0,0,0,0,0,0,0,0
2022,Ashok Sharma,BOW,0.55,Kolkata Knight Riders,,0,0,0,0,0,0,0,0
2024,Ashton Turner,BAT,1,Lucknow Super Giants,1,2,2,0,21,10.5,18,116.66,0
2024,Ashutosh Sharma,AR,0.2,Punjab Kings,,11,9,2,189,27,113,167.25,0
2022,Ashwin Hebbar,BAT,0.2,Delhi Capitals ,,0,0,0,0,0,0,0,0
2024,Atharva Taide,AR,0.2,Punjab Kings,,2,2,0,61,30.5,39,156.41,0
2023,Atharva Taide,AR,0.2,Punjab Kings,,7,7,0,186,26.57,129,144.18,0
2022,Atharva Taide,AR,0.2,Punjab Kings,,0,0,0,0,0,0,0,0
2024,Avesh Khan,BOW,10,Rajasthan Royals,,16,3,3,10,-,5,200,19
2023,Avesh Khan,BOW,10,Lucknow Super Giants,,9,1,1,0,-,1,0,8
2022,Avesh Khan,BOW,10,Lucknow Super Giants,,13,4,3,22,22,13,169.23,18
2021,Avesh Khan,BOW,0.7,Delhi Capitals ,,16,1,0,5,5,3,166.66,24
2020,Avesh Khan,BOW,0.7,Delhi Capitals ,,1,0,0,0,0,0,0,0
2023,Avinash Singh,BOW,0.6,Royal Challengers Bangalore,,0,0,0,0,0,0,0,0
2024,Axar Patel,AR,12,Delhi Capitals,,14,12,4,235,29.37,179,131.28,11
2023,Axar Patel,AR,12, Delhi Capitals,,14,13,3,283,28.3,203,139.4,11
2022,Axar Patel,AR,9,Delhi Capitals ,,13,10,6,182,45.5,120,151.66,6
2021,Axar Patel,AR,5,Delhi Capitals ,,12,6,1,40,8,46,86.95,15
2020,Axar Patel,AR,5,Delhi Capitals ,,15,9,1,117,14.62,85,137.64,9
2024,Ayush Badoni,AR,0.2,Lucknow Super Giants,,14,12,4,235,29.37,171,137.42,0
2023,Ayush Badoni,AR,0.2,Lucknow Super Giants,,15,12,2,238,23.8,172,138.37,0
2022,Ayush Badoni,AR,0.2,Lucknow Super Giants,,13,11,3,161,20.12,130,123.84,2
2024,Azmatullah Omarzai,AR,0.5,Gujarat Titans,1,7,4,0,42,10.5,33,127.27,4
2022,Baba Indrajith,BAT/WK,0.2,Kolkata Knight Riders,,3,3,0,21,7,30,70,0
2023,Baltej Singh,BOW,0.2,Punjab Kings,,0,0,0,0,0,0,0,0
2022,Baltej Singh,BOW,0.2,Punjab Kings,,0,0,0,0,0,0,0,0
2022,Basil Thampi,BOW,0.3,Mumbai Indians,,0,0,0,0,0,0,0,5
2021,Basil Thampi,BOW,0.95,Sunrisers Hyderabad,,0,0,0,0,0,0,0,0
2020,Basil Thampi,BOW,0.95,Sunrisers Hyderabad,,0,0,0,0,0,0,0,1
2020,Bavanaka Sandeep,AR,0.2,Sunrisers Hyderabad,,0,0,0,0,0,0,0,0
2021,Ben Cutting,AR,0.75,Kolkata Knight Riders,1,0,0,0,0,0,0,0,0
2023,Ben Stokes,AR,16.25,Chennai Super Kings,1,2,2,0,15,7.5,14,107.14,0
2021,Ben Stokes,AR,12.5,Rajasthan Royals,1,1,1,0,0,0,3,0,0
2020,Ben Stokes,AR,12.5,Rajasthan Royals,1,8,8,1,285,40.71,200,142.5,2
2022,Benny Howell,AR,0.4,Punjab Kings,1,0,0,0,0,0,0,0,0
2023,Bhagath Varma,AR,0.2,Chennai Super Kings,,0,0,0,0,0,0,0,0
2022,Bhagath Varma,AR,0.2,Chennai Super Kings,,0,0,0,0,0,0,0,0
2023,Bhanuka Rajapaksa,BAT,0.5,Punjab Kings,1,4,4,1,71,23.66,62,114.51,0
2022,Bhanuka Rajapaksa,BAT,0.5,Punjab Kings,1,9,9,0,206,22.88,129,159.68,0
2024,Bhuvneshwar Kumar,BOW,4.2,Sunrisers Hyderabad,,16,5,2,23,7.66,29,79.31,11
2023,Bhuvneshwar Kumar,BOW,4.2,Sunrisers Hyderabad,,14,6,3,42,14,47,89.36,16
2022,Bhuvneshwar Kumar,BOW,4.2,Sunrisers Hyderabad,,14,6,3,24,8,26,92.3,12
2021,Bhuvneshwar Kumar,BOW,8.5,Sunrisers Hyderabad,,11,7,6,34,34,30,113.33,6
2020,Bhuvneshwar Kumar,BOW,8.5,Sunrisers Hyderabad,,4,1,0,0,0,2,0,3
2020,Billy Stanlake,BOW,0.5,Sunrisers Hyderabad,1,0,0,0,0,0,0,0,0
2021,C Hari Nishanth,BAT,0.2,Chennai Super Kings,,0,0,0,0,0,0,0,0
2024,Cameron Green,AR,17.5,Royal Challengers Bangalore,1,13,12,4,255,31.87,178,143.25,10
2023,Cameron Green,AR,17.5,Mumbai Indians,1,16,16,7,452,50.22,282,160.28,6
2022,Chama Milind,BOW,0.25,Royal Challengers Bangalore,,0,0,0,0,0,0,0,0
2022,Chamika Karunaratne,AR,0.5,Kolkata Knight Riders,1,0,0,0,0,0,0,0,0
2024,Chetan Sakariya,BOW,0.5,Kolkata Knight Riders,,0,0,0,0,0,0,0,0
2023,Chetan Sakariya,BOW,4.2, Delhi Capitals,,2,2,1,4,4,6,66.66,3
2022,Chetan Sakariya,BOW,4.2,Delhi Capitals ,,3,0,0,0,0,0,0,3
2021,Chetan Sakariya,BOW,1.2,Rajasthan Royals,,14,6,1,16,3.2,25,64,14
2021,Cheteshwar Pujara,BAT,0.5,Chennai Super Kings,,0,0,0,0,0,0,0,0
2021,Chris Gayle,BAT,2,Punjab Kings,1,10,10,1,193,21.44,154,125.32,0
2020,Chris Gayle,BAT,2,Punjab Kings,1,7,7,0,288,41.14,210,137.14,0
2020,Chris Green,AR,0.2,Kolkata Knight Riders,1,1,0,0,0,0,0,0,0
2022,Chris Jordan,AR,3.6,Chennai Super Kings,1,4,2,1,11,11,8,137.5,2
2021,Chris Jordan,AR,3,Punjab Kings,1,4,2,0,32,16,21,152.38,4
2020,Chris Jordan,AR,3,Punjab Kings,1,9,5,2,29,9.66,31,93.54,9
2021,Chris Lynn,BAT,2,Mumbai Indians,1,1,1,0,49,49,35,140,0
2020,Chris Lynn,BAT,2,Mumbai Indians,1,0,0,0,0,0,0,0,0
2021,Chris Morris,AR,16.25,Rajasthan Royals,1,11,7,2,67,13.4,49,136.73,15
2020,Chris Morris,AR,10,Royal Challengers Bangalore,1,9,5,1,34,8.5,21,161.9,11
2024,Chris Woakes,AR,4.2,Punjab Kings,1,0,0,0,0,0,0,0,0
2021,Chris Woakes,AR,1.5,Delhi Capitals ,1,3,1,1,15,-,11,136.36,5
2020,Chris Woakes,AR,1.5,Delhi Capitals ,1,0,0,0,0,0,0,0,0
