Season,Players,Type,Sold Price,Team,Overseas,Mat,Inns,No,Runs,Ave,BF,SR,Wickets
2023,Heinrich Klaasen,BAT/WK,5.25,Sunrisers Hyderabad,1,12,11,2,448,49.77,253,177.07,0
2024,Himanshu Sharma,BOW,0.2,Royal Challengers Bangalore,,1,0,0,0,0,0,0,0
2023,Himanshu Sharma,BOW,0.2,Royal Challengers Bangalore,,1,0,0,0,0,0,0,0
2023,Hrithik Shokeen,AR,0.2,Mumbai Indians,,8,3,2,23,23,17,135.29,3
2022,Hrithik Shokeen,AR,0.2,Mumbai Indians,,5,3,1,43,21.5,48,89.58,2
2021,Imran Tahir,BOW,1,Chennai Super Kings,1,1,-,-,-,-,-,-,2
2020,Imran Tahir,BOW,1,Chennai Super Kings,1,3,1,1,13,-,10,130,1
2024,Ishan Kishan,BAT/WK,15.25,Mumbai Indians,,14,14,0,320,22.85,215,148.83,0
2023,Ishan Kishan,BAT/WK,15.25,Mumbai Indians,,16,15,0,454,30.26,318,142.76,0
2022,Ishan Kishan,BAT/WK,15.25,Mumbai Indians,,14,14,1,418,32.15,348,120.11,0
2021,Ishan Kishan,BAT/WK,6.2,Mumbai Indians,,10,10,1,241,26.77,180,133.88,0
2020,Ishan Kishan,BAT/WK,6.2,Mumbai Indians,,14,13,4,516,57.33,354,145.76,0
2022,Ishan Porel,BOW,0.25,Punjab Kings,,0,0,0,0,0,0,0,0
2021,Ishan Porel,BOW,0.2,Punjab Kings,,0,0,0,0,0,0,0,1
2020,Ishan Porel,BOW,0.2,Punjab Kings,,0,0,0,0,0,0,0,0
2024,Ishant Sharma,BOW,0.5,Delhi Capitals,,9,2,2,1,-,7,14.28,10
2023,Ishant Sharma,BOW,0.5, Delhi Capitals,,8,1,1,1,-,1,100,10
2021,Ishant Sharma,BOW,1.1,Delhi Capitals ,,3,-,-,-,-,-,-,1
2020,Ishant Sharma,BOW,1.1,Delhi Capitals ,,1,-,-,-,-,-,-,0
2020,Isuru Udana,AR,0.5,Royal Challengers Bangalore,1,10,4,1,15,5,11,136.36,8
2022,J Suchith,BOW,0.2,Sunrisers Hyderabad,,5,2,0,2,1,8,25,7
2020,J Suchith,BOW,0.2,Punjab Kings,,0,0,0,0,0,0,0,0
2021,J Suchith,BOW,0.3,Sunrisers Hyderabad,,2,1,1,14,-,6,233.33,0
2021,Jalaj Saxena,AR,0.3,Punjab Kings,,0,0,0,0,0,0,0,0
2022,James Neesham,AR,1.5,Rajasthan Royals,1,2,2,0,31,15.5,27,114.81,0
2021,James Neesham,AR,0.5,Mumbai Indians,1,3,2,0,0,0,2,0,5
2020,James Neesham,AR,0.5,Punjab Kings,1,5,3,1,19,9.5,18,105.55,2
2024,Jason Behrendorff,BOW,0.75,Mumbai Indians,1,0,0,0,0,0,0,0,0
2023,Jason Behrendorff,BOW,0.75,Mumbai Indians,1,12,2,2,6,-,9,66.66,14
2022,Jason Behrendorff,BOW,0.75,Royal Challengers Bangalore,1,0,0,0,0,0,0,0,0
2023,Jason Holder,AR,5.75,Rajasthan Royals,1,8,3,1,12,6,11,109.09,4
2022,Jason Holder,AR,8.75,Lucknow Super Giants,1,12,8,2,58,9.66,44,131.81,14
2021,Jason Holder,AR,0.75,Sunrisers Hyderabad,1,8,7,1,85,14.16,72,118.05,16
2023,Jason Roy,BAT,2.8,Kolkata Knight Riders,1,8,8,0,285,35.62,188,151.59,0
2022,Jason Roy,BAT,2,Gujarat Titans,1,0,0,0,0,0,0,0,0
2020,Jason Roy,BAT,1.5,Delhi Capitals ,1,0,0,0,0,0,0,0,0
2024,Jasprit Bumrah,BOW,12,Mumbai Indians,,13,4,4,12,-,12,100,20
2022,Jasprit Bumrah,BOW,12,Mumbai Indians,,14,6,4,0,0,8,0,15
2021,Jasprit Bumrah,BOW,7,Mumbai Indians,,14,7,5,16,8,17,94.11,21
2020,Jasprit Bumrah,BOW,7,Mumbai Indians,,15,1,1,5,-,3,166.66,27
2024,Jayant Yadav,AR,1.7,Gujarat Titans,,0,0,0,0,0,0,0,0
2023,Jayant Yadav,AR,1.7,Gujarat Titans,,0,0,0,0,0,0,0,0
2022,Jayant Yadav,AR,1.7,Gujarat Titans,,0,0,0,0,0,0,0,0
2021,Jayant Yadav,AR,0.5,Mumbai Indians,,5,3,1,34,17,26,130.76,0
2020,Jayant Yadav,AR,0.5,Mumbai Indians,,0,0,0,0,0,0,0,0
2024,Jaydev Unadkat,BOW,1.6,Sunrisers Hyderabad,,11,5,2,24,8,26,92.3,8
2023,Jaydev Unadkat,BOW,0.5,Lucknow Super Giants,,3,1,0,9,9,7,128.57,0
2022,Jaydev Unadkat,BOW,1.3,Mumbai Indians,,5,5,2,59,19.66,37,159.45,6
2021,Jaydev Unadkat,BOW,3,Rajasthan Royals,,6,3,1,41,20.5,29,141.37,4
2020,Jaydev Unadkat,BOW,3,Rajasthan Royals,,7,1,0,9,9,13,69.23,4
2024,Jhathavedh Subramanyan,BOW,0.2,Sunrisers Hyderabad,,0,0,0,0,0,0,0,0
2024,Jhye Richardson,BOW,5,Delhi Capitals,1,1,1,0,2,2,2,100,0
2023,Jhye Richardson,BOW,1.5,Mumbai Indians,1,0,0,0,0,0,0,0,0
2021,Jhye Richardson,BOW,14,Punjab Kings,1,3,2,0,15,7.5,24,62.5,3
2024,Jitesh Sharma,BAT/WK,0.2,Punjab Kings,,14,12,1,187,17,142,131.69,0
2023,Jitesh Sharma,BAT/WK,0.2,Punjab Kings,,14,14,1,309,23.76,198,156.06,0
2022,Jitesh Sharma,BAT/WK,0.2,Punjab Kings,,12,10,2,234,29.25,143,163.63,0
2023,Joe Root,BAT,1,Rajasthan Royals,1,3,1,0,10,10,15,66.66,0
2023,Jofra Archer,AR,8,Mumbai Indians,1,5,2,2,4,-,4,100,2
2022,Jofra Archer,AR,8,Mumbai Indians,1,0,0,0,0,0,0,0,0
2021,Jofra Archer,AR,7.2,Rajasthan Royals,1,0,0,0,0,0,0,0,0
2020,Jofra Archer,AR,7.2,Rajasthan Royals,1,14,10,4,113,18.83,63,179.36,20
2024,Jonny Bairstow,BAT/WK,6.75,Punjab Kings,1,11,11,1,298,29.8,195,152.82,0
2023,Jonny Bairstow,BAT/WK,6.75,Punjab Kings,1,0,0,0,0,0,0,0,0
2022,Jonny Bairstow,BAT/WK,6.75,Punjab Kings,1,11,11,0,253,23,175,144.57,0
2021,Jonny Bairstow,BAT/WK,2.2,Sunrisers Hyderabad,1,7,7,1,248,41.33,175,141.71,0
2020,Jonny Bairstow,BAT/WK,2.2,Sunrisers Hyderabad,1,11,11,0,345,31.36,272,126.83,0
2024,Jos Buttler,BAT/WK,10,Rajasthan Royals,1,11,11,2,359,39.88,255,140.78,0
2023,Jos Buttler,BAT/WK,10,Rajasthan Royals,1,14,14,0,392,28,282,139,0
2022,Jos Buttler,BAT/WK,10,Rajasthan Royals,1,17,17,2,863,57.53,579,149.05,0
2021,Jos Buttler,BAT/WK,4.4,Rajasthan Royals,1,7,7,0,254,36.28,166,153.01,0
2020,Jos Buttler,BAT/WK,4.4,Rajasthan Royals,1,13,12,2,328,32.8,227,144.49,0
2023,Josh Hazlewood,BOW,7.75,Royal Challengers Bangalore,1,3,1,1,1,-,2,50,3
2022,Josh Hazlewood,BOW,7.75,Royal Challengers Bangalore,1,12,5,5,18,-,26,69.23,20
2021,Josh Hazlewood,BOW,2,Chennai Super Kings,1,9,-,-,-,-,-,-,11
2020,Josh Hazlewood,BOW,2,Chennai Super Kings,1,3,-,-,-,-,-,-,1
2024,Josh Little,BOW,4.4,Gujarat Titans,1,0,0,0,0,0,0,0,4
2023,Josh Little,BOW,4.4,Gujarat Titans,1,0,0,0,0,0,0,0,7
2021,Joshua Philippe,BAT/WK,0.2,Royal Challengers Bangalore,1,0,0,0,0,0,0,0,0
2020,Joshua Philippe,BAT/WK,0.2,Royal Challengers Bangalore,1,5,5,1,78,19.5,77,101.29,0
2021,K Bhagath Varma,AR,0.2,Chennai Super Kings,,0,0,0,0,0,0,0,0
2024,K Gowtham,AR,0.5,Lucknow Super Giants,,1,-,-,-,-,-,-,0
2022,K Gowtham,AR,0.9,Lucknow Super Giants,,4,1,0,0,0,1,0,5
2020,K Gowtham,AR,6.2,Punjab Kings,,2,2,1,42,42,27,155.55,1
2024,Kagiso Rabada,BOW,9.25,Punjab Kings,1,11,3,2,20,20,14,142.85,11
2023,Kagiso Rabada,BOW,9.25,Punjab Kings,1,6,2,1,0,0,2,0,7
2022,Kagiso Rabada,BOW,9.25,Punjab Kings,1,13,8,3,48,9.6,43,111.62,23
2021,Kagiso Rabada,BOW,4.2,Delhi Capitals ,1,15,3,3,13,-,6,216.66,15
2020,Kagiso Rabada,BOW,4.2,Delhi Capitals ,1,17,8,4,56,14,49,114.28,30
2023,Kamlesh Nagarkoti,AR,1.1, Delhi Capitals,,0,0,0,0,0,0,0,0
2022,Kamlesh Nagarkoti,AR,1.1,Delhi Capitals ,,1,-,-,-,-,-,-,0
2021,Kamlesh Nagarkoti,AR,3.2,Kolkata Knight Riders,,1,1,0,0,0,2,0,0
2020,Kamlesh Nagarkoti,AR,3.2,Kolkata Knight Riders,,10,6,3,22,7.33,31,70.96,5
2021,Kane Richardson,BOW,4,Royal Challengers Bangalore,1,1,-,-,-,-,-,-,1
2020,Kane Richardson,BOW,4,Royal Challengers Bangalore,1,0,0,0,0,0,0,0,0
2024,Kane Williamson,BAT,2,Gujarat Titans,1,2,2,0,27,13.5,27,100,0
2023,Kane Williamson,BAT,2,Gujarat Titans,1,1,-,-,-,-,-,-,0
2022,Kane Williamson,BAT,14,Sunrisers Hyderabad,1,13,13,2,216,19.63,231,93.5,0
2021,Kane Williamson,BAT,3,Sunrisers Hyderabad,1,10,10,4,266,44.33,235,113.19,0
2020,Kane Williamson,BAT,3,Sunrisers Hyderabad,1,12,11,4,317,45.28,237,133.75,0
2023,Karan Sharma,AR,0.2,Lucknow Super Giants,,2,2,0,12,6,21,57.14,0
2022,Karan Sharma,AR,0.2,Lucknow Super Giants,,1,1,0,4,4,4,100,0
2024,Karn Sharma,BOW,0.5,Royal Challengers Bangalore,,9,3,0,31,10.33,15,206.66,7
2024,Kartik Tyagi,BOW,0.6,Gujarat Titans,,1,-,-,-,-,-,-,0
2023,Kartik Tyagi,BOW,4,Sunrisers Hyderabad,,3,-,-,-,-,-,-,1
2022,Kartik Tyagi,BOW,4,Sunrisers Hyderabad,,2,2,0,7,3.5,6,116.66,1
2021,Kartik Tyagi,BOW,1.3,Rajasthan Royals,,4,2,1,2,2,4,50,4
2020,Kartik Tyagi,BOW,1.3,Rajasthan Royals,,10,3,2,4,4,6,66.66,9
2022,Karun Nair,BAT,1.4,Rajasthan Royals,,3,2,0,16,8,18,88.88,0
2021,Karun Nair,BAT,0.5,Kolkata Knight Riders,,0,0,0,0,0,0,0,0
2020,Karun Nair,BAT,5.6,Punjab Kings,,4,3,1,16,8,14,114.28,0
2023,KC Cariappa,BOW,0.3,Rajasthan Royals,,0,0,0,0,0,0,0,0
2022,KC Cariappa,BOW,0.3,Rajasthan Royals,,0,0,0,0,0,0,0,0
2021,KC Cariappa,BOW,0.2,Rajasthan Royals,,0,0,0,0,0,0,0,0
2021,Kedar Jadhav,AR,2,Sunrisers Hyderabad,,6,5,1,55,13.75,52,105.76,0
2020,Kedar Jadhav,AR,7.8,Chennai Super Kings,,8,5,2,62,20.66,66,93.93,0
2020,Keemo Paul,AR,0.5,Delhi Capitals ,1,0,0,0,0,0,0,0,0
2024,Khaleel Ahmed,BOW,5.25,Delhi Capitals,,14,-,-,-,-,-,-,17
2023,Khaleel Ahmed,BOW,5.25, Delhi Capitals,,9,-,-,-,-,-,-,9
2022,Khaleel Ahmed,BOW,5.25,Delhi Capitals ,,10,2,0,0,0,2,0,16
2021,Khaleel Ahmed,BOW,3,Sunrisers Hyderabad,,7,1,0,1,1,2,50,5
2020,Khaleel Ahmed,BOW,3,Sunrisers Hyderabad,,7,1,0,0,0,2,0,8
2022,Kieron Pollard,AR,6,Mumbai Indians,1,11,11,1,144,14.4,134,107.46,4
2021,Kieron Pollard,AR,5.4,Mumbai Indians,1,14,13,5,245,30.62,165,148.48,5
2020,Kieron Pollard,AR,5.4,Mumbai Indians,1,16,12,7,268,53.6,140,191.42,4
2024,KL Rahul,BAT/WK,17,Lucknow Super Giants,,14,14,0,520,37.14,382,136.12,0
2023,KL Rahul,BAT/WK,17,Lucknow Super Giants,,9,9,1,274,34.25,242,113.22,0
2022,KL Rahul,BAT/WK,17,Lucknow Super Giants,,15,15,3,616,51.33,455,135.38,0
2021,KL Rahul,BAT/WK,11,Punjab Kings,,13,13,3,626,62.6,451,138.8,0
2020,KL Rahul,BAT/WK,11,Punjab Kings,,14,14,2,670,55.83,518,129.34,0
2023,KM Asif,BOW,0.3,Rajasthan Royals,,4,1,0,0,0,2,0,3
2022,KM Asif,BOW,0.2,Chennai Super Kings,,0,0,0,0,0,0,0,0
2021,KM Asif,BOW,0.4,Chennai Super Kings,,1,-,-,-,-,-,-,1
2020,KM Asif,BOW,0.4,Chennai Super Kings,,0,0,0,0,0,0,0,0
2024,Krishnappa Gowtham,AR,0.9,Lucknow Super Giants,,0,0,0,0,0,0,0,0
2024,Krunal Pandya,AR,8.25,Lucknow Super Giants,,14,12,8,133,33.25,105,126.66,6
2023,Krunal Pandya,AR,8.25,Lucknow Super Giants,,15,14,4,188,18.8,165,113.93,9
2022,Krunal Pandya,AR,8.25,Lucknow Super Giants,,14,13,4,183,20.33,145,126.2,10
2021,Krunal Pandya,AR,8.8,Mumbai Indians,,13,12,2,143,14.3,123,116.26,5
2020,Krunal Pandya,AR,8.8,Mumbai Indians,,16,12,6,109,18.16,92,118.47,6
2024,KS Bharat,BAT/WK,0.5,Kolkata Knight Riders,,0,0,0,0,0,0,0,0
2022,KS Bharat,BAT/WK,2,Delhi Capitals ,,2,2,0,8,4,7,114.28,0
2021,KS Bharat,BAT/WK,0.2,Royal Challengers Bangalore,,8,7,2,191,38.2,156,122.43,0
2024,Kuldeep Sen,BOW,0.2,Rajasthan Royals,,3,-,-,-,-,-,-,6
2023,Kuldeep Sen,BOW,0.2,Rajasthan Royals,,2,-,-,-,-,-,-,0
2022,Kuldeep Sen,BOW,0.2,Rajasthan Royals,,7,1,1,0,-,3,0,8
2024,Kuldeep Yadav,BOW,2,Delhi Capitals,,11,5,2,47,15.66,41,114.63,16
2023,Kuldeep Yadav,BOW,2, Delhi Capitals,,14,10,8,31,15.5,48,64.58,10
2022,Kuldeep Yadav,BOW,2,Delhi Capitals ,,14,7,6,48,48,52,92.3,21
2021,Kuldeep Yadav,BOW,5.8,Kolkata Knight Riders,,0,0,0,0,0,0,0,0
2020,Kuldeep Yadav,BOW,5.8,Kolkata Knight Riders,,5,2,1,13,13,21,61.9,1
2023,Kuldip Yadav,BOW,0.2,Rajasthan Royals,,2,-,-,-,-,-,-,2
2022,Kuldip Yadav,BOW,0.2,Rajasthan Royals,,0,0,0,0,0,0,0,0
2021,Kuldip Yadav,BOW,0.2,Rajasthan Royals,,1,1,1,0,-,4,0,0
2023,Kulwant Khejroliya,BOW,0.2,Kolkata Knight Riders,,2,-,-,-,-,-,-,2
2022,Kumar Kartikeya,BOW,0.2,Mumbai Indians,,4,1,0,3,3,5,60,5
2023,Kumar Kartikeya,BOW,0.2,Mumbai Indians,,8,1,0,6,6,7,85.71,5
2024,Kumar Kushagra,BAT/WK,7.2,Delhi Capitals,,4,3,0,3,1,7,42.85,0
2024,Kunal Singh Rathore,BAT/WK,0.2,Rajasthan Royals,,0,0,0,0,0,0,0,0
2023,Kunal Singh Rathore,BAT/WK,0.2,Rajasthan Royals,,0,0,0,0,0,0,0,0
2023,Kyle Jamieson,BOW,1,Chennai Super Kings,1,0,0,0,0,0,0,0,0
2021,Kyle Jamieson,AR,15,Royal Challengers Bangalore,1,9,7,3,65,16.25,55,118.18,9
2024,Kyle Mayers,AR,0.5,Lucknow Super Giants,1,0,0,0,0,0,0,0,0
2023,Kyle Mayers,AR,0.5,Lucknow Super Giants,1,13,13,0,379,29.15,263,144.1,0
2022,Kyle Mayers,AR,0.5,Lucknow Super Giants,1,0,0,0,0,0,0,0,0
2024,Lalit Yadav,AR,0.65,Delhi Capitals,,2,2,0,10,5,12,83.33,0
2023,Lalit Yadav,AR,0.65, Delhi Capitals,,6,6,1,66,13.2,59,111.86,2
2022,Lalit Yadav,AR,0.65,Delhi Capitals ,,12,8,1,161,23,146,110.27,4
2021,Lalit Yadav,AR,0.2,Delhi Capitals ,,7,5,3,68,34,73,93.15,4
2020,Lalit Yadav,AR,0.2,Delhi Capitals ,,0,0,0,0,0,0,0,0
2020,Lasith Malinga,BOW,2,Mumbai Indians,1,0,0,0,0,0,0,0,0
2024,Liam Livingstone,AR,11.5,Punjab Kings,1,7,7,2,111,22.2,78,142.3,3
2023,Liam Livingstone,AR,11.5,Punjab Kings,1,9,9,1,279,34.87,171,163.15,2
2022,Liam Livingstone,AR,11.5,Punjab Kings,1,14,14,2,437,36.41,240,182.08,6
2021,Liam Livingstone,AR,0.75,Rajasthan Royals,1,5,5,0,42,8.4,41,102.43,0
2023,Litton Das,BAT/WK,0.5,Kolkata Knight Riders,1,1,1,0,4,4,4,100,0
2024,Lockie Ferguson,BOW,2,Royal Challengers Bangalore,1,7,1,0,1,1,1,100,9
2023,Lockie Ferguson,BOW,10,Kolkata Knight Riders,1,3,-,-,-,-,-,-,1
2022,Lockie Ferguson,BOW,10,Gujarat Titans,1,13,3,1,5,2.5,4,125,12
2021,Lockie Ferguson,BOW,1.6,Kolkata Knight Riders,1,8,3,3,18,-,11,163.63,13
2020,Lockie Ferguson,BOW,1.6,Kolkata Knight Riders,1,5,2,2,43,-,29,148.27,6
2021,Lukman Meriwala,BOW,0.2,Delhi Capitals ,,1,0,0,0,0,0,0,1
2024,Lungi Ngidi,BOW,0.5,Delhi Capitals,1,0,0,0,0,0,0,0,0
2023,Lungi Ngidi,BOW,0.5, Delhi Capitals,1,0,0,0,0,0,0,0,0
2022,Lungi Ngidi,BOW,0.5,Delhi Capitals ,1,0,0,0,0,0,0,0,0
2021,Lungi Ngidi,BOW,0.5,Chennai Super Kings,1,3,-,-,-,-,-,-,5
2020,Lungi Ngidi,BOW,0.5,Chennai Super Kings,1,4,-,-,-,-,-,-,9
2022,Luvnith Sisodia,BAT/WK,0.2,Royal Challengers Bangalore,0,0,0,0,0,0,0,0,0
2023,M Ashwin,BOW,1.6,Rajasthan Royals,,2,-,-,-,-,-,-,0
2024,M Shahrukh Khan,AR,7.4,Gujarat Titans,,7,7,0,127,18.14,75,169.33,0
2020,M Sidharth,BOW,0.2,Kolkata Knight Riders,,0,0,0,0,0,0,0,0
2020,M Vijay,BAT,2,Chennai Super Kings,,3,3,0,32,10.66,43,74.41,0
2024,Maheesh Theekshana,BOW,0.7,Chennai Super Kings,1,5,-,-,-,-,-,-,2
2023,Maheesh Theekshana,BOW,0.7,Chennai Super Kings,1,13,-,-,-,-,-,-,11
2022,Maheesh Theekshana,BOW,0.7,Chennai Super Kings,1,9,2,1,7,7,7,100,12
2024,Mahipal Lomror,AR,0.95,Royal Challengers Bangalore,,10,10,2,125,15.62,68,183.82,0
2023,Mahipal Lomror,AR,0.95,Royal Challengers Bangalore,,12,10,2,135,16.87,97,139.17,0
2022,Mahipal Lomror,AR,0.95,Royal Challengers Bangalore,,7,5,0,86,17.2,57,150.87,0
2021,Mahipal Lomror,AR,0.2,Rajasthan Royals,,4,4,1,94,31.33,73,128.76,1
2020,Mahipal Lomror,AR,0.2,Rajasthan Royals,,3,3,0,59,19.66,54,109.25,0
2023,Manan Vohra,BAT,0.2,Lucknow Super Giants,,1,1,0,10,10,11,90.9,0
2022,Manan Vohra,BAT,0.2,Lucknow Super Giants,,2,1,0,19,19,11,172.72,0
2021,Manan Vohra,BAT,0.2,Rajasthan Royals,,4,4,0,42,10.5,39,107.69,0
2020,Manan Vohra,BAT,0.2,Rajasthan Royals,,0,0,0,0,0,0,0,0
2024,Manav Suthar,BOW,0.2,Gujarat Titans,,1,1,0,1,1,2,50,0
2023,Mandeep Singh,BAT,0.5,Kolkata Knight Riders,,3,3,0,14,4.66,16,87.5,0
2022,Mandeep Singh,BAT,1.1,Delhi Capitals ,,3,3,0,18,6,23,78.26,0
2021,Mandeep Singh,BAT,1.4,Punjab Kings,,1,1,0,15,15,14,107.14,0
2020,Mandeep Singh,BAT,1.4,Punjab Kings,,7,7,1,130,21.66,109,119.26,0
2021,Manimaran Siddharth,BOW,0.2,Delhi Capitals ,,0,0,0,0,0,0,0,0
2024,Manimaran Sidharth,BOW,2.4,Lucknow Super Giants,,3,-,-,-,-,-,-,1
2024,Manish Pandey,BAT,0.5,Kolkata Knight Riders,,1,1,0,42,42,31,135.48,0
2023,Manish Pandey,BAT,2.4, Delhi Capitals,,10,9,0,160,17.77,146,109.58,0
2022,Manish Pandey,BAT,4.6,Lucknow Super Giants,,6,6,0,88,14.66,80,110,0
2021,Manish Pandey,BAT,11,Sunrisers Hyderabad,,8,8,2,292,48.66,236,123.72,0
2020,Manish Pandey,BAT,11,Sunrisers Hyderabad,,16,15,2,425,32.69,333,127.62,0
2024,Manoj Bhandage,AR,0.2,Royal Challengers Bangalore,,0,0,0,0,0,0,0,0
2023,Manoj Bhandage,AR,0.2,Royal Challengers Bangalore,,0,0,0,0,0,0,0,0
2024,Marco Jansen,AR,4.2,Sunrisers Hyderabad,1,3,2,1,18,18,13,138.46,1
2023,Marco Jansen,AR,4.2,Sunrisers Hyderabad,1,8,6,3,39,13,43,90.69,10
2022,Marco Jansen,AR,4.2,Sunrisers Hyderabad,1,8,3,2,9,9,7,128.57,7
2021,Marco Jansen,AR,0.2,Mumbai Indians,1,2,2,0,0,0,3,0,2
2024,Marcus Stoinis,AR,10,Lucknow Super Giants,1,14,14,2,388,32.33,263,147.52,4
2023,Marcus Stoinis,AR,10,Lucknow Super Giants,1,15,15,2,408,31.38,272,150,5
2022,Marcus Stoinis,AR,9.2,Lucknow Super Giants,1,11,10,2,156,19.5,106,147.16,4
2021,Marcus Stoinis,AR,4.8,Delhi Capitals ,1,10,7,3,89,22.25,72,123.61,2
2020,Marcus Stoinis,AR,4.8,Delhi Capitals ,1,17,17,3,352,25.14,237,148.52,13
2024,Mark Wood,BOW,7.5,Lucknow Super Giants,1,0,0,0,0,0,0,0,0
2023,Mark Wood,BOW,7.5,Lucknow Super Giants,1,4,2,1,11,11,5,220,11
2022,Mark Wood,BOW,7.5,Lucknow Super Giants,1,0,0,0,0,0,0,0,0
2024,Matheesha Pathirana,BOW,0.2,Chennai Super Kings,1,6,-,-,-,-,-,-,13
2023,Matheesha Pathirana,BOW,0.2,Chennai Super Kings,1,12,-,-,-,-,-,-,19
2024,Matthew Wade,BAT/WK,2.4,Gujarat Titans,1,2,1,0,4,4,6,66.66,0
2023,Matthew Wade,BAT/WK,2.4,Gujarat Titans,1,0,0,0,0,0,0,0,0
2022,Matthew Wade,BAT/WK,2.4,Gujarat Titans,1,10,10,0,157,15.7,138,113.76,0
2024,Mayank Agarwal,BAT,8.25,Sunrisers Hyderabad,,4,4,0,64,16,57,112.28,0
2023,Mayank Agarwal,BAT,8.25,Sunrisers Hyderabad,,10,10,0,270,27,210,128.57,0
2022,Mayank Agarwal,BAT,12,Punjab Kings,,13,12,0,196,16.33,160,122.5,0
2021,Mayank Agarwal,BAT,1,Punjab Kings,,12,12,1,441,40.09,314,140.44,0
2020,Mayank Agarwal,BAT,1,Punjab Kings,,11,11,0,424,38.54,271,156.45,0
2024,Mayank Dagar,AR,1.8,Royal Challengers Bangalore,,5,1,0,0,0,1,0,1
2023,Mayank Dagar,AR,1.8,Sunrisers Hyderabad,,3,-,-,-,-,-,-,1
2024,Mayank Markande,BOW,0.5,Sunrisers Hyderabad,,7,-,-,-,-,-,-,8
2023,Mayank Markande,BOW,0.5,Sunrisers Hyderabad,,10,3,3,21,-,13,161.53,12
2022,Mayank Markande,BOW,0.65,Mumbai Indians,,2,-,-,-,-,-,,1
2021,Mayank Markande,BOW,2,Rajasthan Royals,,1,-,-,-,-,-,-,0
2020,Mayank Markande,BOW,2,Rajasthan Royals,,0,0,0,0,0,0,0,0
2024,Mayank Yadav,BOW,0.2,Lucknow Super Giants,,4,-,-,-,-,-,-,7
2023,Mayank Yadav,BOW,0.2,Lucknow Super Giants,,0,0,0,0,0,0,0,0
2022,Mayank Yadav,BOW,0.2,Lucknow Super Giants,,0,0,0,0,0,0,0,0
2024,Mitchell Marsh,AR,6.5,Delhi Capitals,1,4,4,0,61,15.25,38,160.52,1
2023,Mitchell Marsh,AR,6.5, Delhi Capitals,1,9,9,0,128,14.22,97,131.95,12
2022,Mitchell Marsh,AR,6.5,Delhi Capitals ,1,8,8,0,251,31.37,189,132.8,4
2021,Mitchell Marsh,AR,2,Sunrisers Hyderabad,1,0,0,0,0,0,0,0,0
2020,Mitchell Marsh,AR,2,Sunrisers Hyderabad,1,1,1,0,0,0,1,0,0
2020,Mitchell McClenaghan,BOW,1,Mumbai Indians,1,0,0,0,0,0,0,0,0
2024,Mitchell Santner,AR,1.9,Chennai Super Kings,1,3,3,0,14,4.66,17,82.35,2
2023,Mitchell Santner,AR,1.9,Chennai Super Kings,1,3,2,2,2,-,4,50,3
2022,Mitchell Santner,AR,1.9,Chennai Super Kings,1,6,4,2,22,11,27,81.48,4
2021,Mitchell Santner,AR,0.5,Chennai Super Kings,1,0,0,0,0,0,0,0,0
2020,Mitchell Santner,AR,0.5,Chennai Super Kings,1,2,0,0,0,0,0,0,2
2024,Mitchell Starc,BOW,24.75,Kolkata Knight Riders,1,14,5,3,9,4.5,11,81.81,17
2024,Moeen Ali,AR,8,Chennai Super Kings,1,8,5,0,128,25.6,98,130.61,2
2023,Moeen Ali,AR,8,Chennai Super Kings,1,15,10,3,124,17.71,91,136.26,9
2022,Moeen Ali,BAT,8,Chennai Super Kings,1,10,10,0,244,24.4,177,137.85,8
2021,Moeen Ali,AR,7,Chennai Super Kings,1,15,15,1,357,25.5,260,137.3,6
2020,Moeen Ali,AR,1.7,Royal Challengers Bangalore,1,3,3,0,12,4,16,75,1
2024,Mohammad Nabi,AR,1.5,Mumbai Indians,1,7,5,1,35,8.75,31,112.9,2
2022,Mohammad Nabi,AR,1,Kolkata Knight Riders,1,0,0,0,0,0,0,0,0
2021,Mohammad Nabi,AR,1,Sunrisers Hyderabad,1,3,3,0,34,11.33,20,170,2
2020,Mohammad Nabi,AR,1,Sunrisers Hyderabad,1,1,1,1,11,-,8,137.5,0
2021,Mohammed Azharuddeen,BAT/WK,0.2,Royal Challengers Bangalore,,0,0,0,0,0,0,0,0
2024,Mohammed Shami,BOW,6.25,Gujarat Titans,,0,0,0,0,0,0,0,0
2023,Mohammed Shami,BOW,6.25,Gujarat Titans,,17,2,0,5,2.5,6,83.33,28
2022,Mohammed Shami,BOW,6.25,Gujarat Titans,,16,-,-,-,-,-,-,20
2021,Mohammed Shami,BOW,4.8,Punjab Kings,,14,4,3,13,13,17,76.47,19
2020,Mohammed Shami,BOW,4.8,Punjab Kings,,14,3,2,2,2,3,66.66,20
2024,Mohammed Siraj,BOW,7,Royal Challengers Bangalore,,14,3,1,12,6,8,150,15
2023,Mohammed Siraj,BOW,7,Royal Challengers Bangalore,,14,2,1,1,1,2,50,19
2022,Mohammed Siraj,BOW,7,Royal Challengers Bangalore,,15,5,3,30,15,33,90.9,9
2021,Mohammed Siraj,BOW,2.6,Royal Challengers Bangalore,,15,4,3,20,20,26,76.92,11
2020,Mohammed Siraj,BOW,2.6,Royal Challengers Bangalore,,9,3,2,17,17,14,121.42,11
2023,Mohit Rathee,AR,0.2,Punjab Kings,,1,1,1,1,-,2,50,0
